run_dir,date,kind,model,prompt_version,gt,router,organizer,variant,tingkat,macro,tokens_cert,calls,latency_ms,notes
run_20260728_131835,2026-07-28,baseline_regex,,,,,,,—,42.2%,—,—,—,
run_fulltext_llm_20260730_201832,2026-07-30,llm_fulltext,,,,,,,23.0%,47.7%,614,74,2449.3,
run_fulltext_llm_20260730_202823,2026-07-30,llm_fulltext,,,,,,,36.5%,58.3%,834,74,2573.4,
run_hybrid_llm_20260730_192808,2026-07-30,other,,,,,,,—,49.4%,833,125,536.8,
run_hybrid_llm_20260730_193007,2026-07-30,other,,,,,,,47.3%,49.0%,834,125,502.7,
run_hybrid_pp_20260730_182441,2026-07-30,hybrid_pp,,,,,,,—,47.7%,—,—,—,
run_hybrid_pp_20260730_182639,2026-07-30,hybrid_pp,,,,,,,—,47.7%,—,—,—,
run_hybrid_pp_20260730_185133,2026-07-30,hybrid_pp,,,,,,,—,47.7%,—,—,—,
run_llm_v3_20260731_104523,2026-07-31,llm_v3,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,,b_minimized,33.8%,45.3%,440,74,442.3,
run_llm_v3_20260731_112920,2026-07-31,llm_v3,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,,b_minimized,31.1%,44.8%,589,74,472.4,
run_llm_v3_20260731_113156,2026-07-31,llm_v3,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,,b_minimized,36.5%,45.8%,479,74,441.7,
run_llm_v3_20260731_113402,2026-07-31,llm_v3,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,,b_minimized,39.2%,46.4%,479,74,439.8,
run_llm_v3_20260803_095408,2026-08-03,llm_v3,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,,b_minimized,70.0%,55.8%,66,10,467.1,
run_llm_v4_20260803_095133,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,regex,a_context,66.7%,66.7%,16,3,3852.9,
run_llm_v4_20260803_095223,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,regex,b_minimized,37.8%,46.1%,479,74,439.2,
run_llm_v4_20260803_095429,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,regex,b_minimized,70.0%,55.8%,66,10,452.6,
run_llm_v4_20260803_095915,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,phrase_v2,b_minimized,40.5%,47.1%,488,74,457.1,
run_llm_v4_20260803_101153,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,phrase_v2,b_minimized,44.6%,47.9%,489,74,451.3,
run_llm_v4_20260803_101548,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,phrase_v2,a_context,66.7%,72.2%,17,3,427.1,
run_llm_v4_20260803_101606,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,,phrase_v2,b_minimized,40.5%,47.1%,486,74,444.9,
run_llm_v4_20260803_103008,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,shadow,phrase_v2,b_minimized,44.6%,47.9%,489,74,452.6,router 70/74 @97%
run_llm_v4_20260803_103220,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,shadow,phrase_v2,b_minimized,44.6%,47.9%,489,74,447.8,router 32/74 @100%
run_llm_v4_20260803_103345,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,b_minimized,71.6%,53.1%,270,42,431.4,router 32/74 @100%
run_llm_v4_20260803_103649,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,b_minimized,71.6%,53.1%,270,42,433.2,router 32/74 @100%
run_llm_v4_20260803_104611,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,d_mid,68.9%,52.6%,207,42,433.5,router 32/74 @100%
run_llm_v4_20260803_112440,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,b_minimized,66.7%,59.4%,33,5,581.9,router 1/74 @100%
run_llm_v4_20260803_112630,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,b_minimized,74.3%,53.6%,249,39,449.1,router 35/74 @100%
run_llm_v4_20260803_113310,2026-08-03,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat.csv,on,phrase_v2,e_hybrid,77.0%,54.2%,202,39,360.1,router 35/74 @100%
run_llm_v4_20260804_093630,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,raw,on,phrase_v2,a_context,60.0%,58.6%,22,4,3991.1,router 1/74 @100%
run_llm_v4_20260804_093737,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,raw,on,phrase_v2,e_hybrid,77.0%,54.2%,202,39,361.8,router 35/74 @100%
run_llm_v4_20260804_094117,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,raw,on,phrase_v2,e_hybrid,77.0%,54.2%,202,39,362.2,router 35/74 @100%
run_llm_v4_20260804_094626,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,e_hybrid,81.1%,54.9%,182,35,351.7,router 39/74 @100%
run_llm_v4_20260804_095054,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,66.7%,72.2%,12,2,345.5,router 1/74 @100%
run_llm_v4_20260804_095127,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,79.7%,54.7%,216,35,357.4,router 39/74 @100%
run_llm_v4_20260804_095412,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,82.4%,55.2%,214,35,356.6,router 39/74 @100%
run_llm_v4_20260804_095713,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,78.4%,54.4%,197,35,343.6,router 39/74 @100%
run_llm_v4_20260804_100137,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,77.0%,50.8%,235,39,370.9,router 35/74 @100%
run_llm_v4_20260804_100410,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,fixed_v8,on,phrase_v2,f_bias,78.4%,51.3%,224,37,365.0,router 37/74 @100%
run_llm_v4_20260804_115212,2026-08-04,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat_v8,on,phrase_v2,f_bias,82.4%,55.2%,214,35,357.3,router 39/74 @100%
run_llm_v4_20260805_163541,2026-08-05,llm_v4,llama3.1:8b,v3_tingkat_only,Ground_Truth_Sertifikat_v8,on,phrase_v2,f_bias,83.8%,58.9%,176,29,349.6,router 45/74 @100%
run_llm_v5_exp5_20260805_211529,2026-08-05,other,llama3.1:8b,v5_multi,Ground_Truth_Sertifikat_v9,,,,66.7%,77.8%,14,2,6456.3,
run_llm_v5_exp5_20260805_211624,2026-08-05,other,llama3.1:8b,v5_multi,Ground_Truth_Sertifikat_v9,,,,83.8%,60.7%,195,29,563.8,
run_llm_v5_exp5_20260805_225540,2026-08-05,other,llama3.1:8b,v5_multi,Ground_Truth_Sertifikat_v9,,,,60.0%,65.5%,19,3,2972.3,
run_llm_v5_exp5_20260805_225609,2026-08-05,other,llama3.1:8b,v5_multi,Ground_Truth_Sertifikat_v9,,,,81.1%,60.4%,185,29,516.4,
run_ner_v1_20260728_161014,2026-07-28,ner_v1,,,,,,,—,12.8%,—,—,—,
run_ner_v1_20260730_083808,2026-07-30,ner_v1,,,,,,,—,12.8%,—,—,—,
run_ner_v1_20260730_084046,2026-07-30,ner_v1,,,,,,,—,12.8%,—,—,—,
run_ner_v1_20260730_095336,2026-07-30,ner_v1,,,,,,,—,12.8%,—,—,—,
ocr_experiment/baseline_rapid,2026-08-04,ocr_trial,rapid,,fixed_v8,,,,—,42.8%,—,—,3488,scan=49 emb=25; scan org 16.3% nomor 54.5%
ocr_experiment/baseline_rapid_tess,2026-08-04,ocr_trial,rapid_tess,,fixed_v8,,,,—,44.3%,—,—,8609,scan=49 emb=?; scan org 14.3% nomor 57.6%
